  Frequency            , DB(V(N00099)-V(N00103)), DB(V(N00115)-V(N00119)), DB(V(N00107)-V(N00111)), DB(V(N00123)-V(N00131)), DB((V(N00115)-V(N00119))/(V(N00099)-V(N00103))), DB((V(N00123)-V(N00131))/(V(N00107)-V(N00111)))
  1.000000000000e+05  ,-1.070730770722e+01  ,-1.279031018966e+01  ,-1.312036572082e+01  ,-1.520238777301e+01  ,-2.083002482438e+00  ,-2.082022052186e+00  
  1.005773063002e+05  ,-1.065915611590e+01  ,-1.274217513858e+01  ,-1.304077072199e+01  ,-1.512280931787e+01  ,-2.083019022678e+00  ,-2.082038595883e+00  
  1.011579454260e+05  ,-1.061099865432e+01  ,-1.269403440351e+01  ,-1.296100689417e+01  ,-1.504306221991e+01  ,-2.083035749198e+00  ,-2.082055325743e+00  
  1.017419366181e+05  ,-1.056284218843e+01  ,-1.264589485211e+01  ,-1.288108252129e+01  ,-1.496315476484e+01  ,-2.083052663678e+00  ,-2.082072243550e+00  
  1.023292992281e+05  ,-1.051469353301e+01  ,-1.259776330122e+01  ,-1.280100590959e+01  ,-1.488309526118e+01  ,-2.083069768212e+00  ,-2.082089351590e+00  
  1.029200527194e+05  ,-1.046655945446e+01  ,-1.254964651943e+01  ,-1.272078540275e+01  ,-1.480289205465e+01  ,-2.083087064976e+00  ,-2.082106651896e+00  
  1.035142166679e+05  ,-1.041844667709e+01  ,-1.250155123315e+01  ,-1.264042940779e+01  ,-1.472255355435e+01  ,-2.083104556057e+00  ,-2.082124146559e+00  
  1.041118107623e+05  ,-1.037036188269e+01  ,-1.245348412623e+01  ,-1.255994641035e+01  ,-1.464208824790e+01  ,-2.083122243536e+00  ,-2.082141837545e+00  
  1.047128548051e+05  ,-1.032231171451e+01  ,-1.240545184400e+01  ,-1.247934499757e+01  ,-1.456150472474e+01  ,-2.083140129487e+00  ,-2.082159727172e+00  
  1.053173687130e+05  ,-1.027430278352e+01  ,-1.235746099966e+01  ,-1.239863387888e+01  ,-1.448081169639e+01  ,-2.083158216145e+00  ,-2.082177817512e+00  
  1.059253725177e+05  ,-1.022634167052e+01  ,-1.230951817621e+01  ,-1.231782190761e+01  ,-1.440001801842e+01  ,-2.083176505684e+00  ,-2.082196110809e+00  
  1.065368863668e+05  ,-1.017843492726e+01  ,-1.226162992753e+01  ,-1.223691810591e+01  ,-1.431913271503e+01  ,-2.083195000269e+00  ,-2.082214609116e+00  
  1.071519305238e+05  ,-1.013058908571e+01  ,-1.221380278793e+01  ,-1.215593168656e+01  ,-1.423816500131e+01  ,-2.083213702217e+00  ,-2.082233314752e+00  
  1.077705253694e+05  ,-1.008281065481e+01  ,-1.216604326845e+01  ,-1.207487207414e+01  ,-1.415712430424e+01  ,-2.083232613638e+00  ,-2.082252230103e+00  
  1.083926914021e+05  ,-1.003510613016e+01  ,-1.211835786700e+01  ,-1.199374893651e+01  ,-1.407602029370e+01  ,-2.083251736840e+00  ,-2.082271357186e+00  
  1.090184492385e+05  ,-9.987481993799e+00  ,-1.207075306800e+01  ,-1.191257220475e+01  ,-1.399486290326e+01  ,-2.083271074202e+00  ,-2.082290698510e+00  
  1.096478196143e+05  ,-9.939944720298e+00  ,-1.202323534808e+01  ,-1.183135210229e+01  ,-1.391366235847e+01  ,-2.083290627784e+00  ,-2.082310256181e+00  
  1.102808233850e+05  ,-9.892500779599e+00  ,-1.197581117976e+01  ,-1.175009917152e+01  ,-1.383242920405e+01  ,-2.083310400156e+00  ,-2.082330032536e+00  
  1.109174815262e+05  ,-9.845156639058e+00  ,-1.192848703280e+01  ,-1.166882430210e+01  ,-1.375117433236e+01  ,-2.083330393743e+00  ,-2.082350030255e+00  
  1.115578151351e+05  ,-9.797918771648e+00  ,-1.188126938235e+01  ,-1.158753875958e+01  ,-1.366990901082e+01  ,-2.083350610704e+00  ,-2.082370251241e+00  
  1.122018454302e+05  ,-9.750793653874e+00  ,-1.183416470741e+01  ,-1.150625421487e+01  ,-1.358864491324e+01  ,-2.083371053536e+00  ,-2.082390698370e+00  
  1.128495937528e+05  ,-9.703787776434e+00  ,-1.178717950115e+01  ,-1.142498277772e+01  ,-1.350739415144e+01  ,-2.083391724717e+00  ,-2.082411373717e+00  
  1.135010815672e+05  ,-9.656907640282e+00  ,-1.174032026701e+01  ,-1.134373702351e+01  ,-1.342616930346e+01  ,-2.083412626724e+00  ,-2.082432279958e+00  
  1.141563304619e+05  ,-9.610159768593e+00  ,-1.169359353045e+01  ,-1.126253003107e+01  ,-1.334498345058e+01  ,-2.083433761857e+00  ,-2.082453419510e+00  
  1.148153621497e+05  ,-9.563550702766e+00  ,-1.164700583562e+01  ,-1.118137541227e+01  ,-1.326385020716e+01  ,-2.083455132856e+00  ,-2.082474794889e+00  
  1.154781984689e+05  ,-9.517087012480e+00  ,-1.160056375452e+01  ,-1.110028735009e+01  ,-1.318278375865e+01  ,-2.083476742037e+00  ,-2.082496408552e+00  
  1.161448613840e+05  ,-9.470775296628e+00  ,-1.155427388869e+01  ,-1.101928063044e+01  ,-1.310179889334e+01  ,-2.083498592058e+00  ,-2.082518262897e+00  
  1.168153729861e+05  ,-9.424622186691e+00  ,-1.150814287213e+01  ,-1.093837068147e+01  ,-1.302091104233e+01  ,-2.083520685443e+00  ,-2.082540360857e+00  
  1.174897554940e+05  ,-9.378634351157e+00  ,-1.146217737595e+01  ,-1.085757361075e+01  ,-1.294013631562e+01  ,-2.083543024794e+00  ,-2.082562704870e+00  
  1.181680312545e+05  ,-9.332818501480e+00  ,-1.141638411431e+01  ,-1.077690624121e+01  ,-1.285949153872e+01  ,-2.083565612828e+00  ,-2.082585297508e+00  
  1.188502227437e+05  ,-9.287181392052e+00  ,-1.137076984416e+01  ,-1.069638615276e+01  ,-1.277899429433e+01  ,-2.083588452111e+00  ,-2.082608141576e+00  
  1.195363525674e+05  ,-9.241729826531e+00  ,-1.132534137190e+01  ,-1.061603172250e+01  ,-1.269866296207e+01  ,-2.083611545374e+00  ,-2.082631239578e+00  
  1.202264434617e+05  ,-9.196470660751e+00  ,-1.128010555600e+01  ,-1.053586216261e+01  ,-1.261851675690e+01  ,-2.083634895247e+00  ,-2.082654594290e+00  
  1.209205182943e+05  ,-9.151410807983e+00  ,-1.123506931246e+01  ,-1.045589756614e+01  ,-1.253857577462e+01  ,-2.083658504480e+00  ,-2.082678208481e+00  
  1.216186000646e+05  ,-9.106557238610e+00  ,-1.119023961478e+01  ,-1.037615894579e+01  ,-1.245886103072e+01  ,-2.083682376165e+00  ,-2.082702084930e+00  
  1.223207119050e+05  ,-9.061916987731e+00  ,-1.114562350011e+01  ,-1.029666827688e+01  ,-1.237939450305e+01  ,-2.083706512383e+00  ,-2.082726226173e+00  
  1.230268770812e+05  ,-9.017497158559e+00  ,-1.110122807494e+01  ,-1.021744854268e+01  ,-1.230019917801e+01  ,-2.083730916385e+00  ,-2.082750635328e+00  
  1.237371189935e+05  ,-8.973304922877e+00  ,-1.105706051402e+01  ,-1.013852377667e+01  ,-1.222129909178e+01  ,-2.083755591138e+00  ,-2.082775315110e+00  
  1.244514611771e+05  ,-8.929347527909e+00  ,-1.101312806714e+01  ,-1.005991910475e+01  ,-1.214271937306e+01  ,-2.083780539230e+00  ,-2.082800268317e+00  
  1.251699273032e+05  ,-8.885632298250e+00  ,-1.096943806191e+01  ,-9.981660791729e+00  ,-1.206448628971e+01  ,-2.083805763660e+00  ,-2.082825497978e+00  
  1.258925411794e+05  ,-8.842166638518e+00  ,-1.092599790579e+01  ,-9.903776279683e+00  ,-1.198662728650e+01  ,-2.083831267273e+00  ,-2.082851006813e+00  
  1.266193267511e+05  ,-8.798958038426e+00  ,-1.088281509160e+01  ,-9.826294236422e+00  ,-1.190917103448e+01  ,-2.083857053178e+00  ,-2.082876798058e+00  
  1.273503081017e+05  ,-8.756014073985e+00  ,-1.083989719802e+01  ,-9.749244594474e+00  ,-1.183214746889e+01  ,-2.083883124034e+00  ,-2.082902874413e+00  
  1.280855094536e+05  ,-8.713342413983e+00  ,-1.079725189720e+01  ,-9.672658588147e+00  ,-1.175558782716e+01  ,-2.083909483220e+00  ,-2.082929239014e+00  
  1.288249551693e+05  ,-8.670950818775e+00  ,-1.075488695233e+01  ,-9.596568802350e+00  ,-1.167952469726e+01  ,-2.083936133554e+00  ,-2.082955894910e+00  
  1.295686697517e+05  ,-8.628847145206e+00  ,-1.071281022327e+01  ,-9.521009199294e+00  ,-1.160399204436e+01  ,-2.083963078062e+00  ,-2.082982845063e+00  
  1.303166778452e+05  ,-8.587039350845e+00  ,-1.067102967076e+01  ,-9.446015161621e+00  ,-1.152902525418e+01  ,-2.083990319917e+00  ,-2.083010092562e+00  
  1.310690042366e+05  ,-8.545535494625e+00  ,-1.062955335683e+01  ,-9.371623520664e+00  ,-1.145466116133e+01  ,-2.084017862208e+00  ,-2.083037640661e+00  
  1.318256738556e+05  ,-8.504343739396e+00  ,-1.058838944751e+01  ,-9.297872588997e+00  ,-1.138093808129e+01  ,-2.084045708112e+00  ,-2.083065492295e+00  
  1.325867117761e+05  ,-8.463472356149e+00  ,-1.054754621684e+01  ,-9.224802181488e+00  ,-1.130789583227e+01  ,-2.084073860696e+00  ,-2.083093650783e+00  
  1.333521432163e+05  ,-8.422929725000e+00  ,-1.050703204824e+01  ,-9.152453642760e+00  ,-1.123557576206e+01  ,-2.084102323237e+00  ,-2.083122119305e+00  
  1.341219935405e+05  ,-8.382724336133e+00  ,-1.046685543521e+01  ,-9.080869856414e+00  ,-1.116402075756e+01  ,-2.084131099077e+00  ,-2.083150901150e+00  
  1.348962882592e+05  ,-8.342864793032e+00  ,-1.042702498431e+01  ,-9.010095262258e+00  ,-1.109327526168e+01  ,-2.084160191274e+00  ,-2.083179999421e+00  
  1.356750530300e+05  ,-8.303359815677e+00  ,-1.038754941895e+01  ,-8.940175855977e+00  ,-1.102338527360e+01  ,-2.084189603273e+00  ,-2.083209417628e+00  
  1.364583136589e+05  ,-8.264218239233e+00  ,-1.034843757751e+01  ,-8.871159188187e+00  ,-1.095439834696e+01  ,-2.084219338278e+00  ,-2.083239158771e+00  
  1.372460961008e+05  ,-8.225449016505e+00  ,-1.030969841608e+01  ,-8.803094352533e+00  ,-1.088636357903e+01  ,-2.084249399573e+00  ,-2.083269226494e+00  
  1.380384264603e+05  ,-8.187061218586e+00  ,-1.027134100933e+01  ,-8.736031969122e+00  ,-1.081933159319e+01  ,-2.084279790748e+00  ,-2.083299624064e+00  
