  Time                 , V(N00099)-V(N00103)  , V(N00115)-V(N00119)  , (V(N00099)+V(N00103))/2, (V(N00115)+V(N00119))/2, V(N00099)            , V(N00103)            , V(N00115)            , V(N00119)            
  0.000000000000e+00  ,4.069499573878e-06  ,3.234287106735e-04  ,8.999624518631e-01  ,8.999280806095e-01  ,8.999644866129e-01  ,8.999604171133e-01  ,9.000897949648e-01  ,8.997663662542e-01  
  1.000000000000e-12  ,4.073476990052e-06  ,3.234287106738e-04  ,8.999624518713e-01  ,8.999280806126e-01  ,8.999644886097e-01  ,8.999604151328e-01  ,9.000897949680e-01  ,8.997663662573e-01  
  2.000000000000e-12  ,4.082143566508e-06  ,3.234287106743e-04  ,8.999624518806e-01  ,8.999280806115e-01  ,8.999644929524e-01  ,8.999604108089e-01  ,9.000897949668e-01  ,8.997663662562e-01  
  3.710941432975e-12  ,4.109403616170e-06  ,3.234287106724e-04  ,8.999624519040e-01  ,8.999280806099e-01  ,8.999645066059e-01  ,8.999603972022e-01  ,9.000897949653e-01  ,8.997663662546e-01  
  7.132824298926e-12  ,4.250800691108e-06  ,3.234287106495e-04  ,8.999624519830e-01  ,8.999280806088e-01  ,8.999645773833e-01  ,8.999603265826e-01  ,9.000897949641e-01  ,8.997663662535e-01  
  1.397659003083e-11  ,5.212692077428e-06  ,3.234287107088e-04  ,8.999624522475e-01  ,8.999280806038e-01  ,8.999650585935e-01  ,8.999598459015e-01  ,9.000897949591e-01  ,8.997663662484e-01  
  2.766412149463e-11  ,1.257559328738e-05  ,3.234287106872e-04  ,8.999624529829e-01  ,8.999280806131e-01  ,8.999687407795e-01  ,8.999561651862e-01  ,9.000897949685e-01  ,8.997663662578e-01  
  5.503918442223e-11  ,6.605495673329e-05  ,3.234287098643e-04  ,8.999624555891e-01  ,8.999280806079e-01  ,8.999954830674e-01  ,8.999294281107e-01  ,9.000897949628e-01  ,8.997663662530e-01  
  9.363668437395e-11  ,2.765074004284e-04  ,3.234287041637e-04  ,8.999624660712e-01  ,8.999280806315e-01  ,9.001007197715e-01  ,8.998242123710e-01  ,9.000897949836e-01  ,8.997663662794e-01  
  1.526126864115e-10  ,1.005082843350e-03  ,3.234285355640e-04  ,8.999625012020e-01  ,8.999280825764e-01  ,9.004650426236e-01  ,8.994599597803e-01  ,9.000897968442e-01  ,8.997663683087e-01  
  2.526134478608e-10  ,3.721730046225e-03  ,3.233950428123e-04  ,8.999625818553e-01  ,8.999283593894e-01  ,9.018234468784e-01  ,8.981017168322e-01  ,9.000900569108e-01  ,8.997666618680e-01  
  3.526142093102e-10  ,8.393826957497e-03  ,3.231326316139e-04  ,8.999626752615e-01  ,8.999301919759e-01  ,9.041595887403e-01  ,8.957657617828e-01  ,9.000917582917e-01  ,8.997686256601e-01  
  4.526149707595e-10  ,1.497251517235e-02  ,3.221846282602e-04  ,8.999627819288e-01  ,8.999358329155e-01  ,9.074490395150e-01  ,8.924765243426e-01  ,9.000969252297e-01  ,8.997747406014e-01  
  5.526157322088e-10  ,2.329815937562e-02  ,3.198308691323e-04  ,8.999628974214e-01  ,8.999475303732e-01  ,9.116119771092e-01  ,8.883138177336e-01  ,9.001074458077e-01  ,8.997876149386e-01  
  6.526164936582e-10  ,3.315532149775e-02  ,3.152310508661e-04  ,8.999630161545e-01  ,8.999660308705e-01  ,9.165406769034e-01  ,8.833853554056e-01  ,9.001236463959e-01  ,8.998084153450e-01  
  7.526172551075e-10  ,4.431581263853e-02  ,3.075781061084e-04  ,8.999631355046e-01  ,8.999900203007e-01  ,9.221210418238e-01  ,8.778052291853e-01  ,9.001438093537e-01  ,8.998362312476e-01  
  8.526180165568e-10  ,5.656406363917e-02  ,2.961383159262e-04  ,8.999632532195e-01  ,9.000169372086e-01  ,9.282452850391e-01  ,8.716812213999e-01  ,9.001650063666e-01  ,8.998688680506e-01  
  9.526187780062e-10  ,6.970882544482e-02  ,2.802104349745e-04  ,8.999633655381e-01  ,9.000441340470e-01  ,9.348177782606e-01  ,8.651089528157e-01  ,9.001842392645e-01  ,8.999040288295e-01  
  1.052619539456e-09  ,8.358647058447e-02  ,2.591422600836e-04  ,8.999634682498e-01  ,9.000692709855e-01  ,9.417567035420e-01  ,8.581702329576e-01  ,9.001988421155e-01  ,8.999396998554e-01  
  1.152620300905e-09  ,9.805989867642e-02  ,2.324747631313e-04  ,8.999635587895e-01  ,9.000900481390e-01  ,9.489935081277e-01  ,8.509336094513e-01  ,9.002062855206e-01  ,8.999738107575e-01  
  1.252621062354e-09  ,1.130155351292e-01  ,2.001346885505e-04  ,8.999636376962e-01  ,9.001042332089e-01  ,9.564714052608e-01  ,8.434558701316e-01  ,9.002043005531e-01  ,9.000041658646e-01  
  1.352621823804e-09  ,1.283597979659e-01  ,1.625368650291e-04  ,8.999637084957e-01  ,9.001104491575e-01  ,9.641436074787e-01  ,8.357838095128e-01  ,9.001917175900e-01  ,9.000291807250e-01  
