"Time_s","OUT_V","OP_OUT_V","DACP_V","DACN_V","PIN_V","NIN_V"
"0","-0.0004084","-0.0007936","0.201","0.2008","0.1724","0.1721"
"2E-09","-0.0004084","-0.0007936","0.201","0.2008","0.1724","0.1721"
"4E-09","-0.0004084","-0.0007936","0.201","0.2008","0.1724","0.1721"
"6E-09","-0.0004084","-0.0007936","0.201","0.2008","0.1724","0.1721"
"8E-09","-0.0004082","-0.0007976","0.2041","0.1974","0.1724","0.1721"
"1E-08","0.01278","0.03046","0.2109","0.1939","0.1808","0.1716"
"1.2E-08","0.03052","0.06349","0.2111","0.1963","0.1812","0.1773"
"1.4E-08","0.03738","0.07557","0.2111","0.1973","0.1811","0.1797"
"1.6E-08","0.03931","0.07883","0.2142","0.1941","0.181","0.1805"
"1.8E-08","0.05287","0.1107","0.221","0.1908","0.1895","0.1802"
"2E-08","0.07065","0.1437","0.2212","0.1931","0.1899","0.1859"
"2.2E-08","0.07748","0.1558","0.2212","0.1941","0.1898","0.1884"
"2.4E-08","0.0794","0.159","0.2243","0.191","0.1897","0.1891"
"2.6E-08","0.09287","0.1907","0.231","0.1876","0.198","0.1888"
"2.8E-08","0.1105","0.2235","0.2312","0.1899","0.1984","0.1945"
"3E-08","0.1173","0.2355","0.2312","0.1909","0.1983","0.1969"
"3.2E-08","0.1192","0.2387","0.2342","0.1879","0.1982","0.1977"
"3.4E-08","0.1326","0.2701","0.2409","0.1845","0.2066","0.1974"
"3.6E-08","0.1501","0.3027","0.2412","0.1868","0.207","0.203"
"3.8E-08","0.1569","0.3146","0.2411","0.1878","0.2068","0.2054"
"4E-08","0.1588","0.3178","0.2441","0.1848","0.2068","0.2062"
"4.2E-08","0.172","0.349","0.2508","0.1815","0.215","0.2059"
"4.4E-08","0.1894","0.3814","0.251","0.1837","0.2154","0.2115"
"4.6E-08","0.1961","0.3932","0.251","0.1847","0.2153","0.2139"
"4.8E-08","0.198","0.3964","0.254","0.1817","0.2152","0.2146"
"5E-08","0.2111","0.4271","0.2605","0.1785","0.2233","0.2143"
"5.2E-08","0.2282","0.459","0.2607","0.1807","0.2237","0.2198"
"5.4E-08","0.2348","0.4706","0.2607","0.1817","0.2236","0.2222"
"5.6E-08","0.2367","0.4738","0.2636","0.1787","0.2235","0.2229"
"5.8E-08","0.2496","0.504","0.2701","0.1755","0.2315","0.2227"
"6E-08","0.2664","0.5354","0.2703","0.1777","0.2319","0.2281"
"6.2E-08","0.2729","0.5469","0.2702","0.1787","0.2318","0.2304"
"6.4E-08","0.2748","0.55","0.2731","0.1758","0.2317","0.2311"
"6.6E-08","0.2874","0.5796","0.2795","0.1726","0.2396","0.2308"
"6.8E-08","0.3039","0.6104","0.2797","0.1748","0.24","0.2362"
"7E-08","0.3103","0.6216","0.2796","0.1757","0.2398","0.2384"
"7.2E-08","0.3121","0.6246","0.2824","0.1729","0.2398","0.2391"
"7.4E-08","0.3244","0.6537","0.2887","0.1698","0.2475","0.2389"
"7.6E-08","0.3407","0.6839","0.2889","0.1719","0.2478","0.2441"
"7.8E-08","0.3469","0.6949","0.2888","0.1728","0.2477","0.2463"
"8E-08","0.3487","0.6979","0.2916","0.1701","0.2477","0.247"
"8.2E-08","0.3608","0.7263","0.2976","0.167","0.2552","0.2467"
"8.4E-08","0.3766","0.7557","0.2978","0.1691","0.2555","0.2518"
"8.6E-08","0.3827","0.7665","0.2978","0.17","0.2554","0.254"
"8.8E-08","0.3844","0.7694","0.3005","0.1673","0.2553","0.2547"
"9E-08","0.3961","0.797","0.3064","0.1644","0.2626","0.2544"
"9.2E-08","0.4115","0.8255","0.3065","0.1664","0.263","0.2594"
"9.4E-08","0.4174","0.836","0.3065","0.1673","0.2629","0.2615"
"9.6E-08","0.4191","0.8388","0.3091","0.1647","0.2628","0.2621"
"9.8E-08","0.4305","0.8655","0.3148","0.1618","0.2699","0.2619"
"1E-07","0.4454","0.8933","0.315","0.1638","0.2702","0.2667"
"1.02E-07","0.4511","0.9034","0.315","0.1646","0.2701","0.2687"
"1.04E-07","0.4528","0.9062","0.3175","0.1621","0.2701","0.2694"
"1.06E-07","0.4638","0.932","0.323","0.1594","0.2769","0.2691"
"1.08E-07","0.4782","0.9588","0.3232","0.1612","0.2772","0.2738"
"1.1E-07","0.4837","0.9686","0.3231","0.1621","0.2771","0.2757"
"1.12E-07","0.4853","0.9712","0.3255","0.1596","0.2771","0.2764"
"1.14E-07","0.4959","0.9962","0.3309","0.157","0.2837","0.2761"
"1.16E-07","0.5098","1.022","0.331","0.1588","0.284","0.2806"
"1.18E-07","0.5151","1.031","0.331","0.1596","0.2839","0.2825"
"1.2E-07","0.5166","1.034","0.3333","0.1573","0.2838","0.2831"
"1.22E-07","0.5268","1.058","0.3384","0.1547","0.2901","0.2829"
"1.24E-07","0.54","1.083","0.3386","0.1565","0.2904","0.2871"
"1.26E-07","0.5451","1.092","0.3385","0.1572","0.2903","0.289"
"1.28E-07","0.5466","1.094","0.3407","0.155","0.2903","0.2895"
"1.3E-07","0.5563","1.117","0.3456","0.1526","0.2963","0.2893"
