Frequency_Hz,OUT_Vpk,OUT_Vpp_50ohm,OUT_rel_dB,OUT_Phase_deg,OP_OUT_Vpk,PIN_Vpk,NIN_Vpk
10000,0.79805964,1.59611928,-0.00825228130756,-0.0003122828,1.5971339,0.1722226,0.17113532
10193.734,0.79806018,1.59612036,-0.00824640407912,-0.00032176015,1.5971349,0.1722226,0.17113556
10391.223,0.79806072,1.59612144,-0.00824052685465,-0.00033162232,1.597136,0.1722226,0.1711358
10592.537,0.79806131,1.59612262,-0.00823410544727,-0.00034188846,1.5971372,0.1722226,0.17113604
10797.752,0.79806191,1.59612382,-0.00822757520735,-0.00035257882,1.5971384,0.1722226,0.17113629
11006.941,0.7980625,1.596125,-0.00822115380956,-0.00036371471,1.5971396,0.1722226,0.17113656
11220.185,0.79806316,1.59612632,-0.00821397055663,-0.00037531869,1.5971409,0.1722226,0.17113684
11437.559,0.79806381,1.59612762,-0.00820689614667,-0.00038741446,1.5971422,0.1722226,0.17113713
11659.144,0.79806453,1.59612906,-0.00819905988391,-0.00040002706,1.5971437,0.17222258,0.17113742
11885.022,0.79806525,1.5961305,-0.00819122362821,-0.00041318293,1.5971451,0.17222258,0.17113774
12115.276,0.79806596,1.59613192,-0.00818349621632,-0.00042690998,1.5971466,0.17222258,0.17113806
12349.992,0.79806674,1.59613348,-0.00817500695485,-0.00044123753,1.5971482,0.17222258,0.17113839
12589.254,0.79806757,1.59613514,-0.00816597351906,-0.00045619659,1.5971497,0.17222258,0.17113875
12833.152,0.7980684,1.5961368,-0.00815694009267,-0.00047181997,1.5971514,0.17222258,0.17113911
13081.774,0.7980693,1.5961386,-0.00814714482165,-0.0004881421,1.5971532,0.17222258,0.17113948
13335.214,0.79807019,1.59614038,-0.00813745839785,-0.00050519949,1.597155,0.17222258,0.17113987
13593.563,0.79807115,1.5961423,-0.00812701013259,-0.00052303044,1.5971569,0.17222258,0.17114027
13856.919,0.7980721,1.5961442,-0.00811667071581,-0.00054167559,1.5971588,0.17222258,0.17114069
14125.375,0.79807311,1.59614622,-0.00810567829672,-0.00056117768,1.5971608,0.17222258,0.17114113
14399.033,0.79807413,1.59614826,-0.00809457705592,-0.00058158177,1.597163,0.17222258,0.17114158
14677.993,0.79807526,1.59615052,-0.00808227863905,-0.00060293549,1.5971651,0.17222258,0.17114204
14962.356,0.79807639,1.59615278,-0.0080699802396,-0.00062528902,1.5971674,0.17222258,0.17114253
15252.229,0.79807752,1.59615504,-0.00805768185756,-0.00064869536,1.5971698,0.17222258,0.17114304
15547.719,0.79807878,1.59615756,-0.00804396863794,-0.00067321036,1.5971721,0.17222258,0.17114356
15848.932,0.79808003,1.59616006,-0.00803036427479,-0.00069889288,1.5971746,0.17222258,0.1711441
16155.981,0.79808134,1.59616268,-0.00801610692507,-0.00072580515,1.5971773,0.17222258,0.17114467
16468.979,0.79808271,1.59616542,-0.00800119659201,-0.00075401272,1.59718,0.17222258,0.17114526
16788.041,0.79808408,1.59616816,-0.00798628628454,-0.00078358464,1.5971829,0.17222258,0.17114586
17113.283,0.79808557,1.59617114,-0.0079700699938,-0.00081459385,1.5971859,0.17222258,0.1711465
17444.826,0.79808712,1.59617424,-0.00795320073019,-0.00084711717,1.5971888,0.17222258,0.17114714
17782.795,0.79808867,1.59617734,-0.00793633149934,-0.00088123569,1.597192,0.17222258,0.17114783
18127.309,0.79809028,1.59618056,-0.00791880930069,-0.00091703493,1.5971953,0.17222258,0.17114853
18478.498,0.79809201,1.59618402,-0.00789998113906,-0.00095460471,1.5971986,0.17222259,0.17114926
18836.49,0.79809374,1.59618748,-0.00788115301825,-0.00099404028,1.5972022,0.17222259,0.17115002
19201.42,0.79809558,1.59619116,-0.00786112777847,-0.0010354414,1.5972059,0.17222259,0.17115081
19573.418,0.79809749,1.59619498,-0.00784034075775,-0.0010789137,1.5972096,0.17222259,0.17115161
19952.623,0.79809946,1.59619892,-0.00781890079373,-0.0011245683,1.5972135,0.17222259,0.17115246
20339.176,0.79810149,1.59620298,-0.00779680789125,-0.0011725223,1.5972176,0.17222259,0.17115334
20733.215,0.79810357,1.59620714,-0.00777417088689,-0.0012228988,1.5972219,0.17222259,0.17115425
21134.891,0.79810578,1.59621156,-0.00775011913441,-0.001275828,1.5972261,0.17222259,0.17115519
21544.348,0.79810804,1.59621608,-0.0077255232935,-0.0013314462,1.5972307,0.17222259,0.17115616
21961.736,0.79811037,1.59622074,-0.00770016570744,-0.001389898,1.5972354,0.17222259,0.17115717
22387.211,0.79811281,1.59622562,-0.00767361106147,-0.0014513346,1.5972403,0.17222259,0.17115821
22820.93,0.79811531,1.59623062,-0.0076464035166,-0.0015159157,1.5972453,0.17222259,0.1711593
23263.051,0.79811794,1.59623588,-0.00761778127139,-0.0015838092,1.5972506,0.17222259,0.17116042
23713.736,0.79812068,1.59624136,-0.00758796199837,-0.0016551917,1.5972559,0.17222259,0.17116159
24173.154,0.79812348,1.59624696,-0.00755748985432,-0.0017302495,1.5972617,0.17222259,0.1711628
24641.473,0.79812634,1.59625268,-0.00752636484613,-0.0018091777,1.5972674,0.17222259,0.17116405
25118.865,0.79812938,1.59625876,-0.00749328104362,-0.0018921817,1.5972735,0.17222259,0.17116535
25605.504,0.79813248,1.59626496,-0.00745954440109,-0.0019794781,1.5972797,0.17222259,0.17116668
26101.572,0.7981357,1.5962714,-0.00742450196275,-0.0020712934,1.5972861,0.17222259,0.17116808
26607.25,0.79813904,1.59627808,-0.00738815374441,-0.0021678665,1.5972928,0.17222257,0.17116951
27122.727,0.79814249,1.59628498,-0.00735060858876,-0.0022694478,1.5972997,0.17222257,0.171171
27648.188,0.79814607,1.59629214,-0.00731164885969,-0.0023763006,1.5973068,0.17222257,0.17117253
28183.83,0.79814977,1.59629954,-0.00727138340155,-0.0024887012,1.5973144,0.17222257,0.17117413
28729.848,0.79815364,1.59630728,-0.00722926810857,-0.002606939,1.597322,0.17222257,0.17117578
29286.445,0.79815757,1.59631514,-0.00718650007429,-0.0027313189,1.59733,0.17222257,0.17117748
29853.826,0.79816169,1.59632338,-0.00714166460033,-0.0028621593,1.5973381,0.17222257,0.17117925
30432.199,0.79816592,1.59633184,-0.00709563230352,-0.0029997946,1.5973467,0.17222257,0.17118107
31021.777,0.79817033,1.59634066,-0.00704764144533,-0.0031445753,1.5973554,0.17222257,0.17118296
31622.777,0.79817486,1.59634972,-0.00699834498951,-0.0032968687,1.5973644,0.17222257,0.17118492
32235.42,0.79817951,1.59635902,-0.00694774295832,-0.0034570591,1.5973738,0.17222257,0.17118693
32859.934,0.7981844,1.5963688,-0.00689452952739,-0.0036255487,1.5973835,0.17222257,0.17118901
33496.543,0.79818934,1.59637868,-0.00684077232287,-0.0038027589,1.5973935,0.17222257,0.17119116
34145.488,0.79819453,1.59638906,-0.00678429497044,-0.0039891297,1.5974039,0.17222257,0.17119339
34807.008,0.79819989,1.59639978,-0.00672596807093,-0.0041851214,1.5974145,0.17222257,0.17119569
35481.34,0.79820538,1.59641076,-0.0066662269325,-0.004391215,1.5974256,0.17222257,0.17119806
36168.734,0.79821104,1.59642208,-0.00660463631649,-0.0046079128,1.5974369,0.17222256,0.1712005
36869.449,0.79821694,1.59643388,-0.00654043454916,-0.0048357393,1.5974487,0.17222256,0.17120302
37583.742,0.79822296,1.59644592,-0.0064749274723,-0.0050752405,1.5974607,0.17222256,0.17120563
38311.867,0.79822922,1.59645844,-0.00640680934159,-0.005326987,1.5974733,0.17222256,0.17120832
39054.102,0.79823566,1.59647132,-0.00633673310005,-0.0055915732,1.5974861,0.17222256,0.1712111
39810.719,0.79824228,1.59648456,-0.00626469879508,-0.0058696175,1.5974995,0.17222256,0.17121394
40581.988,0.79824913,1.59649826,-0.00619016241656,-0.0061617632,1.5975131,0.17222256,0.17121689
41368.203,0.79825616,1.59651232,-0.00611366808292,-0.0064686802,1.5975273,0.17222256,0.17121992
42169.648,0.79826344,1.59652688,-0.00603445417716,-0.0067910648,1.5975418,0.17222256,0.17122305
42986.625,0.79827089,1.59654178,-0.00595339124405,-0.0071296394,1.5975567,0.17222256,0.17122627
43819.426,0.79827858,1.59655716,-0.00586971768106,-0.0074851537,1.5975721,0.17222256,0.17122957
44668.359,0.79828651,1.59657302,-0.00578343356366,-0.0078583851,1.5975879,0.17222254,0.17123297
