run,status,reason,passband_ripple_dB,nyquist_Hz,nyquist_attenuation_dB,f3dB_Hz,gain_1MHz_dB,gain_passband_edge_dB
HIGH_DUAL_AC_CH1DRIVE,PASS,"ripple=0.695 dB, Nyquist attenuation=36.115 dB, f3dB=21.955 MHz",0.6953534379000006,31250000.0,36.11488124472653,21954968.068292934,-6.1987096191,-5.860137485657233
HIGH_DUAL_DC_CH1DRIVE,PASS,"ripple=0.695 dB, Nyquist attenuation=36.117 dB, f3dB=21.955 MHz",0.6948898129999996,312500000.0,36.11667932651299,21954873.7539073,-6.1593605868,-5.823524035009689
HIGH_DUAL_DC_CH2DRIVE,PASS,"ripple=0.658 dB, Nyquist attenuation=36.033 dB, f3dB=21.978 MHz",0.6580757628999994,31250000.0,36.0326821693485,21977501.345458563,-6.4779516225,-6.213346112974314
HIGH_DUAL_AC_CH2DRIVE,PASS,"ripple=0.658 dB, Nyquist attenuation=36.035 dB, f3dB=21.977 MHz",0.6579684953000005,31250000.0,36.03457382974084,21977459.08837428,-6.5225238045,-6.256725956356906
HIGH_FAST_DC_CH1DRIVE,PASS,"ripple=0.922 dB, Nyquist attenuation=42.221 dB, f3dB=41.011 MHz",0.9220967755,62500000.0,42.220611881777444,41010568.59536166,-6.0858277836,-6.5743499981097955
HIGH_FAST_DC_CH2DRIVE,PASS,"ripple=0.833 dB, Nyquist attenuation=42.032 dB, f3dB=41.090 MHz",0.8331297022999999,62500000.0,42.03181185662926,41090104.58918001,-6.4046414607,-6.86616742904783
HIGH_FAST_AC_CH1DRIVE,PASS,"ripple=0.922 dB, Nyquist attenuation=42.216 dB, f3dB=41.011 MHz",0.9217547179999999,62500000.0,42.21632066451758,41010821.47950065,-6.1251766686,-6.607845035537709
HIGH_FAST_AC_CH2DRIVE,PASS,"ripple=0.834 dB, Nyquist attenuation=42.041 dB, f3dB=41.090 MHz",0.8336053534000003,62500000.0,42.041475644775545,41089664.69263647,-6.4492138384,-6.913933128286859
LOW_DUAL_DC_CH1DRIVE,PASS,"ripple=0.702 dB, Nyquist attenuation=36.102 dB, f3dB=21.956 MHz",0.7018197124999999,31250000.0,36.10165089942651,21956040.181594815,-3.8884255522,-3.6707240966542565
LOW_DUAL_DC_CH2DRIVE,PASS,"ripple=0.658 dB, Nyquist attenuation=36.037 dB, f3dB=21.977 MHz",0.6584178044,31250000.0,36.036926625424634,21977013.482210148,-4.2323197405,-4.030377124620348
LOW_DUAL_AC_CH1DRIVE,PASS,"ripple=0.702 dB, Nyquist attenuation=36.099 dB, f3dB=21.956 MHz",0.7023203642999998,31250000.0,36.09914756050093,21956157.042458817,-3.928455781,-3.7080651287127053
LOW_DUAL_AC_CH2DRIVE,PASS,"ripple=0.659 dB, Nyquist attenuation=36.039 dB, f3dB=21.977 MHz",0.6589116619999995,31250000.0,36.038544318893145,21976829.309090685,-4.2772976147,-4.075307080985445
LOW_FAST_DC_CH1DRIVE,PASS,"ripple=0.920 dB, Nyquist attenuation=42.182 dB, f3dB=41.012 MHz",0.9200720718000004,62500000.0,42.18194369169343,41012105.097141124,-3.8148923559,-4.399373944436197
LOW_FAST_DC_CH2DRIVE,PASS,"ripple=0.832 dB, Nyquist attenuation=42.002 dB, f3dB=41.091 MHz",0.8322626669000002,62500000.0,42.00152917983846,41090951.026949145,-4.1590101137,-4.6830309412003785
LOW_FAST_AC_CH1DRIVE,PASS,"ripple=0.920 dB, Nyquist attenuation=42.177 dB, f3dB=41.012 MHz",0.9196075724000004,62500000.0,42.17700752375966,41012445.02412785,-3.8549234273,-4.4323482230428315
LOW_FAST_AC_CH2DRIVE,PASS,"ripple=0.833 dB, Nyquist attenuation=42.009 dB, f3dB=41.091 MHz",0.8325168939999998,62500000.0,42.00854017338381,41090711.930849314,-4.2039876511,-4.730119626485787
