run,status,reason
BIAS_BOOTSTRAP_CH1,PASS,PASS
BIAS_BOOTSTRAP_CH2,PASS,PASS
HIGH_DUAL_AC_CH1DRIVE,PASS,PASS
HIGH_DUAL_DC_CH1DRIVE,PASS,PASS
HIGH_DUAL_DC_CH2DRIVE,PASS,PASS
HIGH_DUAL_AC_CH2DRIVE,PASS,PASS
HIGH_FAST_DC_CH1DRIVE,PASS,PASS
HIGH_FAST_DC_CH2DRIVE,PASS,PASS
HIGH_FAST_AC_CH1DRIVE,PASS,PASS
HIGH_FAST_AC_CH2DRIVE,PASS,PASS
LOW_DUAL_DC_CH1DRIVE,PASS,PASS
LOW_DUAL_DC_CH2DRIVE,PASS,PASS
LOW_DUAL_AC_CH1DRIVE,PASS,PASS
LOW_DUAL_AC_CH2DRIVE,PASS,PASS
LOW_FAST_DC_CH1DRIVE,PASS,PASS
LOW_FAST_DC_CH2DRIVE,PASS,PASS
LOW_FAST_AC_CH1DRIVE,PASS,PASS
LOW_FAST_AC_CH2DRIVE,PASS,PASS
AC_METRICS_GATE,PASS,FAST/DUAL passband + Nyquist criteria PASS for all 16 runs
AC_COUPLING_GATE,PASS,all AC/DC coupling cases physical; corner range=3.441..3.471 Hz
