source,classification,metric,value,units
acanaafv=0att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH1 -3 dB bandwidth,21948679.332155164,Hz
acanaafv=0att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH2 -3 dB bandwidth,21962876.26832545,Hz
acanaafv=0att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH1 Nyquist rejection,36.083319434454594,dB
acanaafv=0att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH2 Nyquist rejection,36.040474912929426,dB
acanaafv=1att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH1 -3 dB bandwidth,41212740.32291858,Hz
acanaafv=1att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH2 -3 dB bandwidth,41252463.64865911,Hz
acanaafv=1att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH1 Nyquist rejection,41.858025894745495,dB
acanaafv=1att=3v3(1).csv,AFE_AC_POSTLAYOUT,CH2 Nyquist rejection,41.80167364636755,dB
trans(20260903-220723).csv,AFE_TRANSIENT_MATRIX,Settled ADC differential Vpp,2.2046566393719997,V
trans(20260903-220723).csv,AFE_TRANSIENT_MATRIX,Settled FDA differential Vpp,3.107620072636,V
trans(20260903-220723).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode mean,0.9007712826543787,V
trans(20260903-220723).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode ripple pp,0.05057859924819996,V
trans(20260904-072702).csv,AFE_TRANSIENT_MATRIX,Settled ADC differential Vpp,2.4571651630340003,V
trans(20260904-072702).csv,AFE_TRANSIENT_MATRIX,Settled FDA differential Vpp,3.127832751247,V
trans(20260904-072702).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode mean,0.8999119738912568,V
trans(20260904-072702).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode ripple pp,0.007353035937399999,V
trans(20260904-074916).csv,AFE_TRANSIENT_MATRIX,Settled ADC differential Vpp,2.1319892939210003,V
trans(20260904-074916).csv,AFE_TRANSIENT_MATRIX,Settled FDA differential Vpp,2.736560126923,V
trans(20260904-074916).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode mean,0.8999376245030467,V
trans(20260904-074916).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode ripple pp,0.006439410439300075,V
trans(20260904-084345).csv,AFE_TRANSIENT_MATRIX,Settled ADC differential Vpp,1.9389155278582,V
trans(20260904-084345).csv,AFE_TRANSIENT_MATRIX,Settled FDA differential Vpp,2.719042308696,V
trans(20260904-084345).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode mean,0.8999504578275411,V
trans(20260904-084345).csv,AFE_TRANSIENT_MATRIX,Settled ADC common-mode ripple pp,0.04459841747339999,V
RUN_FG_V9_AC.csv,AWG_AC,-3 dB bandwidth,84742532.8378155,Hz
RUN_FG_V8.csv,AWG_TRANSIENT,BNC output Vpp,1.5983,V
RUN_FG_V8.csv,AWG_TRANSIENT,Op-amp output Vpp,3.199,V
