channel,model,requested_frequency_Hz,actual_frequency_Hz,low_minus_high_dB
CH1,SOURCE_S47P,0.0,0.0,12.063597542290148
CH1,SOURCE_S47P,100000.0,100000.0,4.464177137260059
CH1,SOURCE_S47P,1000000.0,1000000.0,2.226262769061666
CH1,SOURCE_S47P,2000000.0,2000000.0,2.177183053989058
CH1,SOURCE_S47P,10000000.0,10000000.0,2.1128141336253687
CH1,SOURCE_S47P,20000000.0,20032983.6193716,2.1122723090609856
CH1,SOURCE_S47P,40000000.0,39902261.112485,2.1301775034137496
CH1,SOURCE_S47P,62500000.0,62446948.6041067,2.167045410025704
CH1,SOURCE_S47P,100000000.0,100000000.0,2.265699654494292
CH1,FROZEN_GSPICE,0.0,0.0,10.729723389119725
CH1,FROZEN_GSPICE,100000.0,100000.0,4.42239638768643
CH1,FROZEN_GSPICE,1000000.0,1000000.0,2.239239377523456
CH1,FROZEN_GSPICE,2000000.0,2000000.0,2.1300174892482566
CH1,FROZEN_GSPICE,10000000.0,10000000.0,2.090869374817668
CH1,FROZEN_GSPICE,20000000.0,20032983.6193716,2.114890920540587
CH1,FROZEN_GSPICE,40000000.0,39902261.112485,2.1319856107881368
CH1,FROZEN_GSPICE,62500000.0,62446948.6041067,2.1610736593470605
CH1,FROZEN_GSPICE,100000000.0,100000000.0,2.2626869649763712
CH1,SCHEMATIC_REFERENCE,0.0,0.0,12.052404095017476
CH1,SCHEMATIC_REFERENCE,100000.0,100000.0,11.780766142098557
CH1,SCHEMATIC_REFERENCE,1000000.0,1000000.0,10.068707446649269
CH1,SCHEMATIC_REFERENCE,2000000.0,2000000.0,10.004701583395793
CH1,SCHEMATIC_REFERENCE,10000000.0,10000000.0,9.983418190271497
CH1,SCHEMATIC_REFERENCE,20000000.0,20032983.6193716,9.982745835017214
CH1,SCHEMATIC_REFERENCE,40000000.0,39902261.112485,9.982578879569248
CH1,SCHEMATIC_REFERENCE,62500000.0,62446948.6041067,9.982545585092645
CH1,SCHEMATIC_REFERENCE,100000000.0,100000000.0,9.98253156972947
CH2,SOURCE_S47P,0.0,0.0,12.063255170031717
CH2,SOURCE_S47P,100000.0,100000.0,4.332543085419173
CH2,SOURCE_S47P,1000000.0,1000000.0,2.239894410657506
CH2,SOURCE_S47P,2000000.0,2000000.0,2.192754342429988
CH2,SOURCE_S47P,10000000.0,10000000.0,2.1290623517095
CH2,SOURCE_S47P,20000000.0,20032983.6193716,2.1286013774021786
CH2,SOURCE_S47P,40000000.0,39902261.112485,2.1467436492505723
CH2,SOURCE_S47P,62500000.0,62446948.6041067,2.184076597906145
CH2,SOURCE_S47P,100000000.0,100000000.0,2.284056824257
CH2,FROZEN_GSPICE,0.0,0.0,12.06027042987916
CH2,FROZEN_GSPICE,100000.0,100000.0,4.5589109037408
CH2,FROZEN_GSPICE,1000000.0,1000000.0,2.2167726239626777
CH2,FROZEN_GSPICE,2000000.0,2000000.0,2.2673036484074984
CH2,FROZEN_GSPICE,10000000.0,10000000.0,2.146937943269423
CH2,FROZEN_GSPICE,20000000.0,20032983.6193716,2.149006236530983
CH2,FROZEN_GSPICE,40000000.0,39902261.112485,2.1477871724525706
CH2,FROZEN_GSPICE,62500000.0,62446948.6041067,2.177188267902608
CH2,FROZEN_GSPICE,100000000.0,100000000.0,2.27902876679458
CH2,SCHEMATIC_REFERENCE,0.0,0.0,12.052404095017476
CH2,SCHEMATIC_REFERENCE,100000.0,100000.0,11.780766142098557
CH2,SCHEMATIC_REFERENCE,1000000.0,1000000.0,10.068707446649269
CH2,SCHEMATIC_REFERENCE,2000000.0,2000000.0,10.004701583395793
CH2,SCHEMATIC_REFERENCE,10000000.0,10000000.0,9.983418190271497
CH2,SCHEMATIC_REFERENCE,20000000.0,20032983.6193716,9.982745835017214
CH2,SCHEMATIC_REFERENCE,40000000.0,39902261.112485,9.982578879569248
CH2,SCHEMATIC_REFERENCE,62500000.0,62446948.6041067,9.982545585092645
CH2,SCHEMATIC_REFERENCE,100000000.0,100000000.0,9.98253156972947
