sink_name,nominal_V,current_A,upper_tolerance_percent,lower_tolerance_percent
SINK_IC2_+1V8D_GND,1.8,0.079,5.56,5.56
SINK_IC2_+1V8_GND,1.8,0.111,5.56,5.56
SINK_Y1_CLK3V3_GND,3.3,0.027,,
SINK_IC3_-3V0_GND,-3.0,0.128,,
SINK_IC3_+3V0_GND,3.0,0.084,,
SINK_U1_-3V0_GND,-3.0,0.042,,
SINK_U1_PYNQ_3V3_GND,3.3,0.042,,
SINK_C23_PYNQ_3V3_GND,3.3,0.0464,,
SINK_C107_PYNQ_3V3_GND,3.3,0.0464,,
SINK_U9_PYNQ_3V3_GND,3.3,6.8e-05,,
SINK_U8_PYNQ_3V3_GND,3.3,6.8e-05,,
SINK_U7_PYNQ_3V3_GND,3.3,6.8e-05,,
SINK_U4_CP_3V3_GND,3.3,0.255,,
SINK_U6_ADC_3V3_GND,3.3,0.079012,,
SINK_U5_ADC_3V3_GND,3.3,0.111012,,
SINK_U2_LED_INDICATORS_PYNQ_3V3_GND,3.3,0.0135,,
SINK_D16_PWR_LED_PYNQ_3V3_GND,3.3,0.0033,,
SINK_U12_PYNQ_3V3_GND,3.3,0.042,,
SINK_U12_-3V0_GND,-3.0,0.042,,
SINK_U13_AVDD_DVDD_PYNQ_3V3_GND,3.3,0.0254,,
SINK_U13_CLKVDD_CLK3V3_GND,3.3,0.00385,,
SINK_Y3_CLK3V3_GND,3.3,0.02,,
